Timestamp,Power Load (MW),Temperature (°C),Humidity (%),Wind Speed (km/h),Rain (mm),Public Holiday (0/1),Weekday/Weekend (0/1),Solar Generation (MW),Region,Population Growth Rate (%)
2023-01-01 00:00:00,3123.62,35.55,43.91,22.25,0.0,0,1,809.59,West,1.96
2023-01-01 01:00:00,4852.14,16.46,27.59,26.43,40.93,0,1,923.08,North,2.5
2023-01-01 02:00:00,4195.98,22.13,30.11,13.9,0.0,0,1,761.56,South,2.41
2023-01-01 03:00:00,3795.98,33.21,34.45,8.68,40.93,0,1,776.4,West,2.59
2023-01-01 04:00:00,2468.06,26.87,36.29,9.57,0.0,0,1,243.58,West,2.95
2023-01-01 05:00:00,2467.98,35.85,39.38,20.91,0.0,0,1,897.86,North,2.99
2023-01-01 06:00:00,2174.25,43.64,40.44,17.03,0.0,0,1,1465.17,West,1.53
2023-01-01 07:00:00,4598.53,14.08,56.46,14.59,0.0,0,1,1463.73,East,1.76
2023-01-01 08:00:00,3803.35,34.83,60.77,6.08,0.0,0,1,523.72,East,1.75
2023-01-01 09:00:00,4124.22,18.06,44.71,26.26,0.0,0,1,1092.67,East,2.11
2023-01-01 10:00:00,2061.75,24.51,92.58,23.43,40.93,1,1,662.36,South,1.11
2023-01-01 11:00:00,4909.73,11.15,64.25,4.22,0.0,0,1,206.64,West,2.43
2023-01-01 12:00:00,4497.33,14.76,83.0,11.02,0.0,0,1,1110.57,West,0.82
2023-01-01 13:00:00,2637.02,21.19,93.94,16.26,40.93,0,1,516.06,West,2.88
2023-01-01 14:00:00,2545.47,21.97,33.05,13.63,0.0,0,1,1141.39,East,0.81
2023-01-01 15:00:00,2550.21,41.49,54.23,11.93,0.0,0,1,569.07,West,2.36
2023-01-01 16:00:00,2912.73,35.96,54.66,21.56,0.0,0,1,262.52,West,1.49
2023-01-01 17:00:00,3574.27,44.03,48.36,1.64,0.0,0,1,1279.53,South,2.08
2023-01-01 18:00:00,3295.84,30.97,20.71,14.14,0.0,0,1,77.79,West,1.29
2023-01-01 19:00:00,2873.69,18.46,85.28,7.87,0.0,0,1,548.36,North,0.8
2023-01-01 20:00:00,3835.56,21.47,28.92,2.54,0.0,0,1,1008.81,North,2.85
2023-01-01 21:00:00,2418.48,21.19,99.64,13.95,0.0,0,1,1329.55,West,1.78
2023-01-01 22:00:00,2876.43,21.43,81.84,5.14,0.0,1,1,241.66,South,1.25
2023-01-01 23:00:00,3099.09,33.55,66.4,7.75,0.0,0,1,144.08,West,2.06
2023-01-02 00:00:00,3368.21,28.58,32.37,15.21,0.0,0,0,453.21,East,1.14
2023-01-02 01:00:00,4355.53,23.49,61.23,29.21,0.0,0,0,384.29,North,0.6
2023-01-02 02:00:00,2599.02,15.22,40.89,20.53,0.0,1,0,1041.36,East,2.48
2023-01-02 03:00:00,3542.7,10.77,40.19,8.39,0.0,0,0,356.5,North,2.99
2023-01-02 04:00:00,3777.24,17.66,86.36,11.47,0.0,0,0,935.96,East,2.89
2023-01-02 05:00:00,2139.35,13.76,50.45,12.18,0.0,0,0,984.01,South,2.7
2023-01-02 06:00:00,3822.63,37.49,56.06,4.61,0.0,0,0,1208.38,West,2.37
2023-01-02 07:00:00,2511.57,13.94,87.44,4.82,0.0,0,0,905.13,South,0.9
2023-01-02 08:00:00,2195.15,35.35,27.02,4.45,0.0,0,0,1381.47,East,0.89
2023-01-02 09:00:00,4846.66,23.5,67.57,15.65,0.0,1,0,1038.14,West,0.87
2023-01-02 10:00:00,4896.9,12.57,66.26,20.23,0.0,0,0,363.66,North,1.65
2023-01-02 11:00:00,4425.19,38.45,54.02,17.72,0.0,0,0,1409.8,North,1.69
2023-01-02 12:00:00,2913.84,30.29,86.38,29.33,40.93,1,0,284.97,South,1.94
2023-01-02 13:00:00,2293.02,18.25,95.43,3.78,0.0,1,0,278.99,North,1.07
2023-01-02 14:00:00,4052.7,41.31,57.23,29.59,0.0,0,0,1113.43,East,0.6
2023-01-02 15:00:00,3320.46,11.58,56.49,14.0,0.0,0,0,778.51,South,0.75
2023-01-02 16:00:00,2366.11,17.06,60.17,6.56,0.0,0,0,240.05,East,0.67
2023-01-02 17:00:00,3485.53,36.32,77.85,28.3,0.0,0,0,170.9,South,2.48
2023-01-02 18:00:00,2103.17,34.83,73.44,14.06,0.0,0,0,254.09,East,0.84
2023-01-02 19:00:00,4727.96,20.12,37.83,10.42,0.0,0,0,1389.7,South,2.38
2023-01-02 20:00:00,2776.34,12.17,25.11,6.41,0.0,0,0,879.72,North,0.77
2023-01-02 21:00:00,3987.57,40.03,95.94,8.04,40.93,0,0,1093.74,East,1.74
2023-01-02 22:00:00,2935.13,20.98,40.89,29.38,0.0,0,0,192.03,West,1.22
2023-01-02 23:00:00,3560.2,16.85,71.09,9.12,40.93,0,0,568.95,South,2.13
2023-01-03 00:00:00,3640.13,28.06,86.28,29.33,40.93,0,0,835.42,South,0.86
2023-01-03 01:00:00,2554.56,41.86,44.02,9.91,40.93,0,0,764.63,East,1.97
2023-01-03 02:00:00,4908.75,11.52,70.83,6.94,0.0,0,0,558.87,South,1.93
2023-01-03 03:00:00,4325.4,36.8,28.63,5.5,0.0,0,0,143.65,South,1.51
2023-01-03 04:00:00,4818.5,30.04,97.59,12.36,0.0,0,0,1024.31,South,1.71
2023-01-03 05:00:00,4684.48,24.89,24.65,7.1,40.93,0,0,896.89,South,0.87
2023-01-03 06:00:00,3793.7,36.04,55.05,20.91,0.0,0,0,630.74,North,2.53
2023-01-03 07:00:00,4765.62,43.8,62.95,7.19,0.0,0,0,1390.53,South,2.01
2023-01-03 08:00:00,2265.48,18.02,83.24,25.06,0.0,0,0,1134.06,East,0.8
2023-01-03 09:00:00,2587.95,15.03,29.69,25.02,0.0,0,0,547.24,South,2.79
2023-01-03 10:00:00,2135.68,41.95,55.26,8.57,40.93,0,0,79.19,East,2.06
2023-01-03 11:00:00,2975.99,33.41,43.98,22.61,0.0,1,0,1200.58,South,0.93
2023-01-03 12:00:00,3166.03,25.33,44.96,25.73,0.0,0,0,660.19,South,1.06
2023-01-03 13:00:00,2814.05,30.06,82.3,17.7,0.0,0,0,708.35,North,1.01
2023-01-03 14:00:00,4486.21,36.1,20.44,10.99,0.0,0,0,881.03,West,1.06
2023-01-03 15:00:00,3070.26,37.06,79.93,13.23,0.0,1,0,990.7,South,1.02
2023-01-03 16:00:00,2842.8,42.2,84.83,23.59,40.93,0,0,912.96,South,2.36
2023-01-03 17:00:00,3628.09,24.94,92.11,8.8,0.0,0,0,422.04,North,1.98
2023-01-03 18:00:00,2422.77,20.27,70.15,10.03,0.0,0,0,266.85,South,1.08
2023-01-03 19:00:00,4406.59,32.39,46.68,4.82,0.0,1,0,42.06,North,2.83
2023-01-03 20:00:00,2223.65,24.55,54.18,11.97,0.0,0,0,19.6,North,0.53
2023-01-03 21:00:00,4960.66,30.81,97.58,2.6,0.0,0,0,1333.28,North,2.21
2023-01-03 22:00:00,4316.73,24.7,90.49,9.63,0.0,1,0,1491.81,North,1.86
2023-01-03 23:00:00,2596.15,15.35,57.08,11.2,0.0,0,0,536.47,East,1.83
2023-01-04 00:00:00,2016.57,26.43,95.45,7.66,0.0,0,0,319.53,South,1.88
2023-01-04 01:00:00,4446.38,34.18,85.84,3.04,0.0,0,0,599.03,West,1.72
2023-01-04 02:00:00,4120.57,37.97,92.09,15.65,0.0,0,0,154.87,South,2.87
2023-01-04 03:00:00,4187.02,27.27,74.64,25.95,0.0,0,0,944.58,South,2.05
2023-01-04 04:00:00,4313.81,15.78,88.61,10.07,0.0,0,0,337.52,South,1.65
2023-01-04 05:00:00,2222.13,24.51,91.34,7.1,40.93,0,0,476.14,North,2.65
2023-01-04 06:00:00,3075.4,37.52,27.36,8.55,0.0,0,0,1283.17,East,2.72
2023-01-04 07:00:00,2347.61,24.45,97.22,25.86,0.0,0,0,853.65,West,2.44
2023-01-04 08:00:00,4589.31,34.38,46.69,15.83,0.0,1,0,202.23,South,1.93
2023-01-04 09:00:00,3869.89,27.75,55.19,3.92,0.0,0,0,143.28,East,0.61
2023-01-04 10:00:00,2992.69,18.44,83.35,21.28,0.0,0,0,981.28,North,2.78
2023-01-04 11:00:00,2190.68,37.87,73.19,4.63,0.0,0,0,243.99,West,2.54
2023-01-04 12:00:00,2932.95,12.95,91.44,1.81,0.0,0,0,295.2,East,2.83
2023-01-04 13:00:00,2975.55,28.37,52.05,7.67,0.0,0,0,902.68,South,0.84
2023-01-04 14:00:00,4188.82,17.31,49.86,5.04,0.0,0,0,1365.86,West,2.9
2023-01-04 15:00:00,3912.67,12.35,22.54,18.15,0.0,1,0,812.13,South,2.91
2023-01-04 16:00:00,4661.64,27.6,57.02,14.54,0.0,0,0,702.48,South,1.63
2023-01-04 17:00:00,3416.64,27.48,77.93,21.72,0.0,0,0,1288.01,North,0.69
2023-01-04 18:00:00,2358.78,34.74,44.09,15.35,0.0,1,0,440.27,West,2.05
2023-01-04 19:00:00,4139.73,36.07,57.02,12.57,40.93,0,0,51.87,North,2.07
2023-01-04 20:00:00,4282.36,35.47,37.55,15.79,0.0,0,0,836.53,East,1.83
2023-01-04 21:00:00,3683.83,24.33,81.82,13.03,0.0,0,0,197.84,East,1.32
2023-01-04 22:00:00,4312.9,32.11,24.84,1.11,0.0,0,0,90.87,East,0.68
2023-01-04 23:00:00,3481.39,30.19,76.43,20.42,0.0,0,0,145.56,East,1.91
2023-01-05 00:00:00,3568.2,24.75,50.32,28.86,0.0,1,0,165.5,North,1.29
2023-01-05 01:00:00,3282.62,30.9,23.33,12.66,0.0,0,0,983.49,North,0.75
2023-01-05 02:00:00,2076.26,43.15,88.28,12.71,0.0,0,0,873.58,West,0.98
2023-01-05 03:00:00,2323.67,16.75,59.02,1.37,0.0,1,0,480.32,West,2.48
2023-01-05 04:00:00,2094.29,41.7,67.95,26.71,0.0,0,0,364.62,South,2.52
2023-01-05 05:00:00,3909.23,11.87,78.56,27.87,40.93,0,0,1.03,West,2.42
2023-01-05 06:00:00,2943.07,20.79,72.41,24.39,0.0,0,0,238.33,North,0.69
2023-01-05 07:00:00,3525.71,20.09,78.47,3.19,0.0,0,0,863.27,West,0.78
2023-01-05 08:00:00,4722.7,31.92,80.98,27.01,0.0,1,0,834.68,West,1.08
